Unnamed: 0,FID,pointid,PopDens2020,Country,ISO_A2,ISO_A3,ISO_N3,UN_A3,latDD,lonDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
721,44194,7763096,42.573898299999996,Indonesia,ID,IDN,360,360,-0.704167,127.8130035,-7.584701462334231,-15.158385645937933,-60.60820021420389,-3.5485456166061025,-19.317548272502925,-11.4452995966273,-12.470279374540262,-16.958537527865115,-18.400697655545073,-33.25246312281899,-31.217341913932195,-49.6768989439683,-23.194372862189095,-38.05067070028495,-31.177524574446846,-46.819045856257404
722,61759,4359301,39.305198700000005,Philippines,PH,PHL,608,608,11.7707996,119.9710007,-4.651946467174062,-5.879732774571256,-32.502953969720714,-3.3573829170745695,-6.5148887334330325,-8.326349004347888,-5.292400441600265,-7.814962160418837,-7.848756939460488,-18.341739625968312,-11.14853565553805,-23.047523029197524,-10.55460186680337,-16.120508884037264,-14.36198220245959,-21.670412215406287
723,59205,4793045,46124.5,Philippines,PH,PHL,608,608,10.320799800000001,123.9380035,2.7188746334417813,1.376157108002407,-3.357666701301698,-4.3285867139176375,-22.8984337122489,-4.53388774812079,-0.4171221310001916,0.8075718186523861,-1.6360489442004411,-22.928960390557464,-12.77068071264953,-26.620827348560404,-11.94316632151512,-26.09383694882744,-17.496920458176746,-20.245585894914207
724,10767,9763875,153.4279938,Indonesia,ID,IDN,360,360,-8.2541704,122.91200259999998,-0.5118579359045028,-1.0296960250001375,-0.9680815001281373,-4.775962455188198,-4.120169522796269,4.044269038396342,-0.9708056262307418,-2.6880661311427634,-0.8061054408509682,-19.707131583178338,-13.30137097842531,-28.550450362489045,-14.217881061050141,-21.594753581028957,-18.289018628182106,-34.60369638303295
725,62036,4311365,364.6419983,Philippines,PH,PHL,608,608,11.945799800000001,124.0210037,8.004142492452338,9.385023884503507,3.7973358278886815,-3.6849491067640905,-16.708259192427953,-3.1497430881195942,2.954045444000619,6.085650419525979,-0.7331833743268179,-24.49509441108445,-12.140785183194257,-24.28562714973026,-6.542836274809671,-24.776705298623458,-18.52544172298384,-22.619947290864594
726,65352,3658160,1084.180054,Philippines,PH,PHL,608,608,13.9125004,124.2959976,17.045185384272155,12.855594269842774,13.16349428045902,-3.806793172965317,-17.21769704984728,-3.3094308800001415,6.011342935688502,12.825220683196159,0.9050648703096131,-26.411043202048035,-12.517503866011047,-27.144092394306163,-4.034714137961548,-25.77893656812983,-20.763182558046545,-22.540711554511706
727,20314,8399249,29.4204006,Indonesia,ID,IDN,360,360,-2.7375,111.7460022,-4.266950007319393,-11.403988197281,-50.787526737558,-3.59363612199588,-4.430153551679439,-36.39043567305828,-10.885994206628757,-11.911484710649168,-7.128238155181455,-20.321226647239087,-72.26487508145976,-8.045830821163912,-31.982153131675993,-13.44343283641537,-14.788557962924342,-9.348267718302882
728,48744,7355899,73.84359740000001,Indonesia,ID,IDN,360,360,0.745833,102.5540009,-2.4831116611248594,-7.796239391126281,-46.0201690701053,-2.317366661133169,4.716954604171875,-9.327192538822926,-1.6256387568435726,-1.8079918223283364,-2.176647625024153,-17.33838467356864,-33.18374968874861,-2.1817499586731848,-17.367602062733155,-5.963639192952341,-7.24961909591112,-5.681589496533601
729,33922,8483958,60.256401100000005,Indonesia,ID,IDN,360,360,-2.9625001,129.12899779999998,-3.52833518778205,-6.988911965568878,-56.814783910086895,-5.143383847617445,-10.837015769618386,-4.394048610815593,-5.689466044374447,-7.439220230233035,-9.416107639765404,-27.23809641103916,-25.788693400429274,-41.023111249133784,-19.029298564016685,-31.46232574796759,-28.707787009471797,-45.36966948187482
730,62239,4271662,223.6419983,Philippines,PH,PHL,608,608,12.0874996,124.5210037,13.14000144278873,12.111169997567206,8.459087260068365,-3.747429934843194,-16.900444902217203,-3.101600046241837,4.386459056712733,9.21340581326444,0.021172575494299295,-25.7778412275766,-12.870076303987975,-24.471766458944757,-3.012539221233157,-26.023118501094945,-20.49809472268582,-25.27725698837473
