country,communityID,CoMgmtSite,dataProvider,lonDD,latDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
Phillipines,15,15,Richard,124.49186110000001,10.04431389,14.248776105716242,-4.370199884645198,-23.703512478166655,-8.996724340708784,-43.574252582285844,-2.0724612454375513,-1.842309281894905,1.6556630316438614,2.7390896564511102,-39.20258461065872,-52.37667194815766,-40.795611863228764,-21.162232380655333,-44.49845244565097,-32.98741230566785,-33.46949037158821
Indonesia,minanga,minanga,Georgie,124.85472299999999,0.968939,-38.715213643500114,-48.024338292408565,-65.00723896800098,-8.835932261641965,-49.702647835915236,-12.257025127505061,-38.552747026169676,-52.128971921428914,-38.99389273170236,-47.693574845723106,-71.3154518447901,-61.79147016611787,-26.146741189848456,-51.48328969679601,-40.28009546037838,-53.77023447048367
Indonesia,tumbak,tumbak,Georgie,124.887593,0.97456,-38.715213643500114,-48.024338292408565,-65.00723896800098,-8.835932261641965,-49.702647835915236,-12.257025127505061,-38.552747026169676,-52.128971921428914,-38.99389273170236,-47.693574845723106,-71.3154518447901,-61.79147016611787,-26.146741189848456,-51.48328969679601,-40.28009546037838,-53.77023447048367
Indonesia,bentenan,bentenan,Georgie,124.899355,1.00966,-38.715213643500114,-48.024338292408565,-65.93263501813884,-8.835932261641965,-49.702647835915236,-12.315564604815998,-38.552747026169676,-52.128971921428914,-38.99389273170236,-47.693574845723106,-72.74635257636265,-62.16342644243073,-25.768388428516865,-51.92690546635872,-40.706540264086414,-53.99638611817568
Indonesia,rumbia,rumbia,Georgie,124.91253,1.023584,-38.715213643500114,-48.024338292408565,-68.2675171841759,-8.835932261641965,-49.702647835915236,-12.402280765854146,-38.552747026169676,-52.128971921428914,-38.99389273170236,-47.693574845723106,-75.09561595711752,-62.97076580155845,-26.842489941814673,-52.88081201582013,-41.45350541510743,-54.824360480618274
Indonesia,Bahoi,Bahoi,Georgie,125.019901,1.720518,-38.32946984465343,-50.38429186680455,-72.63760400612827,-8.347057463664164,-50.77179579678093,-14.590178131822862,-37.986998286105845,-51.5404237336314,-39.352444136198294,-48.29984974592683,-77.90015207553829,-65.06569150162966,-28.578227283674252,-55.02855695377945,-43.22552983157109,-56.39532610721385
Indonesia,talise,talise,Georgie,125.074772,1.830393,-38.32946984465343,-50.38429186680455,-74.14424965258814,-8.347057463664164,-50.77179579678093,-16.079111915641377,-37.986998286105845,-51.5404237336314,-39.352444136198294,-48.29984974592683,-79.51822954669015,-65.9701058876483,-30.174029370718326,-56.070654068811756,-43.95623965573399,-57.43632466079311
Indonesia,kahuku,kahuku,Georgie,125.11968300000001,1.8027259999999998,-38.32946984465343,-50.38429186680455,-74.14424965258814,-8.347057463664164,-50.77179579678093,-16.079111915641377,-37.986998286105845,-51.5404237336314,-39.352444136198294,-48.29984974592683,-79.51822954669015,-65.9701058876483,-30.174029370718326,-56.070654068811756,-43.95623965573399,-57.43632466079311
PNG,Muluk,Muluk,Josh,146.067575,-4.647611111,-43.775247943756646,-60.295570110422084,-71.13835832818015,-9.016005722643994,-51.41096279009735,-39.21321957310082,-43.16095382708637,-56.45470520109901,-54.65412493162371,-67.88054188366883,-71.04039940611429,-80.21773746333862,-59.88916145736067,-70.88987824178594,-63.351365458082064,-69.6065632045716
PNG,Andra,Andra,Josh,147.0006333,-1.941236111,-42.79253404186277,-64.92088379119123,-84.23694653312862,-10.276377653910718,-49.94538411745276,-37.81739836643793,-41.82054687156715,-59.33629825942233,-57.17265864949594,-69.26573483290706,-84.54037546419819,-82.2513745592847,-58.31076678557008,-70.52132237593507,-66.85050965488641,-83.0519909758933
PNG,Ahus,Ahus,Josh,147.1039361,-1.945386111,-42.72382113377199,-64.17825079288441,-84.68234216113089,-10.931454530076678,-49.78464449868595,-37.59287429683571,-41.957935501367004,-59.495899088962645,-57.16047969834352,-69.0437062910052,-84.9204712975723,-82.09024810250882,-58.03993633928579,-70.19094922327923,-66.6719875029343,-82.99293666044741
PNG,Somalani,Somalani,Amy,149.4922389,-5.526927777999999,-43.190564670012755,-54.1075208404181,-70.9082614454626,-12.925248921445897,-50.760820443377554,-30.553905011956715,-41.877173392968494,-51.868906411043895,-46.94345414494171,-65.04877613012512,-70.26644444855721,-80.81060009444445,-43.327062738272204,-69.12465231195222,-62.53036849447692,-78.41458444528331
PNG,Vesse,Vesse,Amy,149.70397219999998,-5.4671944439999995,-43.77727939654942,-53.97921881709937,-72.37641681410162,-12.667446269557846,-53.14410869577847,-30.86228145889137,-41.8936434239444,-52.272159896860984,-47.62445195666613,-65.04877613012512,-71.63404565727669,-80.91849890031047,-44.01943794739839,-69.16391820918624,-62.8409787933649,-79.18503152174311
PNG,Dabanot,Dabanot,Josh,150.5280333,-2.505383333,-42.31840771519495,-64.90627143141008,-84.45047379240346,-12.854568096031526,-50.754721369894426,-35.53925348422078,-44.41549501545741,-62.11768873111796,-57.67509012754265,-66.87642324553357,-83.52833568440934,-80.95298031976466,-51.7267257739173,-66.64273107755704,-64.03371697762887,-81.55051272974436
PNG,Baia,Baia,Amy,151.5393806,-4.9281611110000005,-45.647953185956005,-57.64254202805924,-80.15641922535414,-11.322919483306993,-54.538909336731756,-31.24107075908784,-43.226665080148194,-57.50710442074123,-50.657677500462725,-66.12877154275189,-78.50550648835028,-80.99741371656222,-48.09367236991152,-67.72494946585891,-63.78932896762785,-82.06295108484744
PNG,Kavulik,Kavulik,Josh,152.0824,-3.3087,-45.03012650502134,-65.25221987536447,-81.96546339025093,-13.948526555568474,-52.229080471452875,-31.049010516661614,-45.35933933405963,-63.28005723291572,-58.11033377476702,-65.48174857519751,-80.34887323863899,-80.69702659973082,-48.594357350692306,-65.46131971213671,-62.61091348116932,-80.79667734924453
PNG,Silom 1,Silom,Josh,152.10606669999999,-3.3189666669999998,-45.03012650502134,-65.25221987536447,-81.96546339025093,-13.948526555568474,-52.229080471452875,-31.049010516661614,-45.35933933405963,-63.28005723291572,-58.11033377476702,-65.48174857519751,-80.34887323863899,-80.69702659973082,-48.594357350692306,-65.46131971213671,-62.61091348116932,-80.79667734924453
PNG,Ungakum,Ungakum,Josh,150.4980917,-2.480402778,-41.89209047347017,-64.90627143141008,-84.28890719586131,-13.189835271760476,-49.62873297354158,-35.64517970773793,-43.651080724310674,-61.68227029812115,-57.66921164441323,-66.87642324553357,-83.51353192351274,-81.01213420157328,-53.066163784897846,-66.61912178079778,-64.06802016982823,-81.71675664358085
Madagascar,masoala cap,Masoala,Josh,50.15984718,-15.98355287,21.34717062816005,24.8275449805621,35.29018245047377,-8.910508360859149,14.280651759452256,-6.166159875132237,8.659061257534994,27.309546555376762,4.284011640602037,-24.320635794093437,-21.288504887635153,-33.138090332993656,-19.147106389120484,-24.716720923508028,-19.742274033959372,-45.58597704119125
